name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved,Total Number of Changes,Total Time spend in Inference,Total Percent of Time spend in Inference
Scarborough,C,1,1,0,164.06,164.06,0,0.0,0,2,0,1558.64,1.901,5,4,0.0,,1814.18,1421.0,,,,,,2,164.06,0.09043204092206947
Scarborough,A,2,2,0,347.51,347.51,0,0.0,0,0,1,369.831,43.6,0,2,100.0,669.764,1050.57,222.0,670.0,,,,,1,695.02,0.6615646744148415
Scarborough,B,3,4,0,215.4,198.26,0,0.0,0,0,3,292.049,61.441,0,4,33.33,,1402.91,279.0,985.0,965.0,,,,3,861.6,0.6141520126023765
Belleville,B,1,2,0,228.47,228.47,0,0.0,0,2,0,817.991,337.09,0,0,0.0,,1496.24,,,,,,,2,456.94,0.3053921830722344
Belleville,A,2,3,0,190.66,165.44,1,302.72,0,0,2,214.045,11.091,0,0,100.0,297.753,1264.14,87.0,298.0,,,,,2,571.98,0.45246570791209834
Belleville,C,3,6,2,113.0,112.92,1,468.35,0,1,4,383.509,21.754,5,1,66.67,,1068.34,282.0,518.0,670.0,818.0,,,5,678.0,0.634629425089391
Moosonee,B,1,2,1,121.32,121.32,0,0.0,0,0,0,,34.415,7,2,0.0,0.0,1352.68,,,,,,,0,242.64,0.17937723630126856
Moosonee,C,2,6,4,105.14,110.51,2,357.12,0,1,3,331.616,22.167,0,0,66.67,0.0,1064.26,270.0,500.0,432.0,725.0,712.0,,4,630.84,0.592749891943698
Moosonee,A,3,4,2,101.59,92.29,2,166.72,0,0,1,295.528,32.258,3,0,100.0,303.472,668.6,223.0,303.0,,,,,1,406.36,0.6077774454083159
Rimouski,A,1,2,0,69.76,69.76,0,0.0,0,0,2,395.401,12.559,0,0,100.0,584.626,919.36,,585.0,,,,,2,139.52,0.15175774451792554
Rimouski,C,2,5,1,127.51,118.67,1,79.64,0,3,1,166.824,18.095,0,0,100.0,575.515,1795.37,48.0,195.0,161.0,217.0,,576.0,4,637.5500000000001,0.35510786077521633
Rimouski,B,3,4,2,251.0,268.89,2,255.75,0,3,2,31.319,52.285,0,0,66.67,,1751.51,292.0,169.0,,330.0,,,5,1004.0,0.5732196790198172
Lachine,B,1,1,0,107.84,107.84,0,0.0,0,0,0,,3.281,7,2,0.0,0.0,1305.05,,,,,,,0,107.84,0.08263284931611817
Lachine,A,2,6,3,89.89,94.89,0,0.0,0,3,2,288.701,2.036,1,1,0.0,0.0,884.18,98.0,,,,,,5,539.34,0.6099889162840146
Lachine,C,3,3,1,110.39,108.84,0,0.0,0,1,1,204.641,10.581,1,1,0.0,0.0,461.34,,,,,,,2,331.17,0.7178436727792952
louisbourg,C,1,2,0,181.96,181.96,0,0.0,0,0,1,845.0,222.785,2,1,0.0,,1180.25,,,,,,,1,363.92,0.3083414530819742
louisbourg,B,2,5,2,120.26,129.18,0,0.0,0,3,1,194.748,3.234,0,0,100.0,909.746,910.6,190.0,224.0,358.0,682.0,,910.0,4,601.3000000000001,0.6603338458159456
louisbourg,A,3,8,5,83.87,75.53,1,264.27,0,0,4,604.488,67.953,0,5,100.0,617.313,1221.92,252.0,617.0,,,,,4,670.96,0.5491030509362315
quebec,C,1,5,0,191.24,170.0,0,0.0,0,4,0,475.676,124.835,1,8,0.0,0.0,1770.45,,,,,,,4,956.2,0.5400886780197125
quebec,A,2,5,1,124.13,129.47,0,0.0,0,1,1,257.0,46.287,1,2,100.0,262.241,1096.13,257.0,262.0,,,,,2,620.65,0.5662193352978204
quebec,B,3,5,1,98.27,85.58,2,222.07,0,1,3,411.071,60.178,2,3,33.33,0.0,1499.53,388.0,617.0,594.0,,,,4,491.34999999999997,0.3276693363920695
