name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
Estevan,B,1,3,0,119.20,118.00,0,0.00,0,3,0,1475.069,65.099,1,6,0.00,null,1690.44,null,null,null,null,null,null
Estevan,C,2,3,0,355.73,244.15,0,0.00,0,1,4,160.174,8.021,1,3,66.67,null,1591.61,209,275,380,403,null,null
Estevan,A,3,5,1,119.26,109.60,0,0.00,0,0,5,160.957,36.162,1,0,100.00,215.822,2078.19,212,216,null,null,null,null
