name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
quebec,C,1,5,0,191.24,170.00,0,0.00,0,4,0,475.676,124.835,1,8,0.00,0,1770.45,null,null,null,null,null,null
quebec,A,2,5,1,124.13,129.47,0,0.00,0,1,1,257,46.287,1,2,100.00,262.241,1096.13,257,262,null,null,null,null
quebec,B,3,5,1,98.27,85.58,2,222.07,0,1,3,411.071,60.178,2,3,33.33,0,1499.53,388,617,594,null,null,null
