name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
Montreal,A,1,4,1,60.70,57.80,1,33.39,0,0,5,968.176,139.203,10,10,100.00,985.366,1763.29,null,985,null,null,null,null
Montreal,B,2,3,1,139.93,147.53,0,0.00,0,0,2,451.842,292.432,0,0,66.67,null,796.12,524,528,539,778,null,null
Montreal,C,3,8,6,183.46,197.81,0,0.00,0,1,3,410.467,273.657,1,4,66.67,null,1958.24,406,421,463,679,664,null
