name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
Trenton,B,1,2,0,141.27,141.27,1,119.89,0,1,0,497.08,15.511,4,0,0.00,0,903.51,456,null,null,null,null,null
Trenton,C,2,6,1,137.63,128.64,1,119.32,0,1,3,121.75,4.264,5,9,100.00,909.874,2134.09,40,129,550,733,null,910
Trenton,A,3,2,1,99.59,99.59,0,0.00,0,0,1,54.446,39.014,3,2,100.00,69.817,358.35,60,70,null,null,null,null
