name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
Kitimat,A,1,2,0,64.27,64.27,1,120.00,0,1,3,194.449,215.063,5,2,100.00,205,506.38,198,205,null,null,null,null
Kitimat,C,2,3,1,172.28,163.46,0,0.00,0,0,2,196.371,26.086,1,0,100.00,368.464,966.02,215,234,224,247,329,368
Kitimat,B,3,5,2,139.90,125.74,1,270.00,0,1,5,47.768,20.934,4,2,66.67,500,918.82,73,500,160,1039,439,null
