name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
Moosonee,B,1,2,1,121.32,121.32,0,0.00,0,0,0,,34.415,7,2,0.00,0,1352.68,null,null,null,null,null,null
Moosonee,C,2,6,4,105.14,110.51,2,357.12,0,1,3,331.616,22.167,0,0,66.67,0,1064.26,270,500,432,725,712,null
Moosonee,A,3,4,2,101.59,92.29,2,166.72,0,0,1,295.528,32.258,3,0,100.00,303.472,668.60,223,303,null,null,null,null
