name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved
Gatineau,A,1,3,0,168.16,167.62,1,95.00,0,0,1,1124.914,61.613,1,5,0.00,0,1601.24,null,null,null,null,null,null
Gatineau,B,2,4,0,164.99,144.43,2,303.03,0,1,2,357.929,68.75,0,0,66.67,0,1152.38,272,376,589,1150,839,null
Gatineau,C,3,6,1,142.40,151.65,1,104.48,0,1,8,237.926,135.26,0,0,100.00,1015.828,1200.42,232,294,255,296,896,1016
